video_id,instance_id,query,short_query
--h5fAKYurM,0,the pigeon is limping,the pigeon
-0cOo0cRVZU,0,player in blue shirt passing a basketball on left,player in blue shirt
-0cOo0cRVZU,1,Instructor standing on the sideline,Instructor
-0cOo0cRVZU,2,Guy in blue shirt is walking towards a three point line,Guy in blue shirt
-0cOo0cRVZU,3,man in blue shirt shooting the basketball on the right,man in blue shirt
-0cOo0cRVZU,4,player in blue shirt playing basketball,player in blue shir
-0cOo0cRVZU,5,a red car is sitting in the basket,a red car
-0cOo0cRVZU,6,ball thrown to the right,ball
-0cOo0cRVZU,7,basketball flying into the basket,basketball
-1L1Fm8QaK4,0,a person is climbing up a wall,a person
-2GEt8vi2RA,0,a car is flying ,a car
-2akYw9VucA,0,blue car is flying in the sky,blue car
-2akYw9VucA,1,car in blue standing on the grass,car in blue
-2akYw9VucA,2,a white car is parked,a white car
-2akYw9VucA,3,a blue car is parked in the middle ,a blue car
-2akYw9VucA,4,a blue car is flying on the air,a blue car
-2akYw9VucA,5,rightmost white car parking in the back,rightmost white car
-2vO7IbjuSE,0,the cat is chasing a laser pointer dot along the floor,the cat
-4CdF084nIs,0,the kitten is running in slow motion,the kitten
-4K2hHSl7s4,0,a man with blow shirt is playing basketball,a man with blow shirt
-4K2hHSl7s4,1,ball bouncing up and down,ball
-4KMQsUaSAQ,0,a man with red shirt is climbing up,a man with red shirt
-54J_vTufjw,0,Gray goose standing on the right side,Gray goose
-54J_vTufjw,1,a bird on the left is swimming,a bird
-5Ilq3kFxek,0,cat jumping over the fence,cat
-5bfNwGsWZA,0,black bird flying in the sky,black bird
-5lbSzOSfz8,0,cat walking on the road,cat
-5lbSzOSfz8,1,Guy walking with two dogs in the park,Guy
-7AwCPcgrzA,0,German shepherd eating food from the bowl,German shepherd
-7EE9T3Z0qk,0,the child is crawling up onto the sofa,the child
-7EE9T3Z0qk,1,baby girl sitting on the couch,baby girl
-7e9bizUyHg,0,the bird is hopping in its enclosure,the bird
-8FLF-osZmA,0,a man is throwing a ball,a man
-8FLF-osZmA,1,A basketball is thrown by a boy,A basketball
-8FLF-osZmA,2,an orange ball is stayed in the basket on the left,an orange ball
-8FLF-osZmA,3,a red ball is flying on the air,a red ball
-8FLF-osZmA,4,Ball flying into the basket,Ball
-8sY4FHSq7g,0,a dog holding a red ball in its mouth is running outside on the grass,a dog
-8sY4FHSq7g,1,ball is held by a dog,ball
-An-2j9snuc,0,black dog rolling on the grass,black dog
-AyZV127fCg,0,a man with white shirt is nearby car ,a man with white shirt
-AyZV127fCg,1,Guy in black shirt standing near man in white shirt and green car,Guy in black shirt
-AyZV127fCg,2,green car jumping up and down,green car
-AyZV127fCg,3,a person in red tshirt is standing on the left,a person in red tshirt
-AyZV127fCg,4,a man is standing and watching on the behind,a man
-AyZV127fCg,5,a man in black is standing on back of the car,a man in black
-AyZV127fCg,6,man in white standing between a man in black and a man in white,man in white
-AyZV127fCg,7,Green car dancing in the middle,Green car
-Bo3qO_HkEQ,0,baby rolling over carpet,baby
-CzttfT_7uM,0,siamese cat is rolling outside,siamese cat
-EKuFGo77JM,0,a baby is rolling on the floor,a baby
-EKuFGo77JM,1, green ball is on the floor,green ball
-FeMotilSE8,0,man rolling on the grass,man
